epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,240.916,0.649,2.78176,0.89772,0.55075,0.85892,0.77005,0.66646,0.60712,2.45755,0.88787,7.89684e-05,7.89684e-05,7.89684e-05
120,242.571,0.6005,2.65947,0.90796,0.52146,0.8746,0.76258,0.66739,0.5897,2.43068,0.88264,7.66122e-05,7.66122e-05,7.66122e-05
121,244.454,0.59056,2.64067,0.91165,0.5257,0.86885,0.77598,0.67411,0.60449,2.41716,0.88516,7.4256e-05,7.4256e-05,7.4256e-05
122,246.846,0.58935,2.66322,0.90223,0.51986,0.85776,0.78191,0.67555,0.62746,2.42042,0.88894,7.18998e-05,7.18998e-05,7.18998e-05
123,248.512,0.62399,2.68207,0.89861,0.55606,0.83375,0.78746,0.67045,0.6576,2.41765,0.89515,6.95436e-05,6.95436e-05,6.95436e-05
124,250.16,0.58755,2.62507,0.8841,0.5884,0.81611,0.79664,0.68443,0.62536,2.4117,0.88898,6.71874e-05,6.71874e-05,6.71874e-05
125,251.826,0.59917,2.6998,0.90248,0.58896,0.83929,0.80175,0.6939,0.61004,2.41244,0.88565,6.48312e-05,6.48312e-05,6.48312e-05
126,253.535,0.60669,2.64495,0.89311,0.58814,0.84641,0.80316,0.69446,0.608,2.40385,0.88553,6.2475e-05,6.2475e-05,6.2475e-05
127,255.169,0.63822,2.72618,0.90096,0.59703,0.83769,0.80896,0.69962,0.60031,2.39283,0.88386,6.01188e-05,6.01188e-05,6.01188e-05
128,256.897,0.61224,2.63868,0.90707,0.602,0.86795,0.80102,0.69715,0.58873,2.38453,0.88132,5.77626e-05,5.77626e-05,5.77626e-05
129,259.574,0.59056,2.62399,0.89836,0.59339,0.85765,0.80493,0.69763,0.59859,2.3829,0.88319,5.54064e-05,5.54064e-05,5.54064e-05
130,261.501,0.61758,2.69544,0.90251,0.57956,0.85782,0.80831,0.70123,0.59687,2.3813,0.8827,5.30502e-05,5.30502e-05,5.30502e-05
131,263.279,0.58433,2.54805,0.89443,0.57481,0.87191,0.80617,0.69893,0.59931,2.37907,0.88247,5.0694e-05,5.0694e-05,5.0694e-05
132,264.985,0.5937,2.59274,0.89101,0.5892,0.87771,0.8118,0.70719,0.59548,2.37361,0.88109,4.83378e-05,4.83378e-05,4.83378e-05
133,266.627,0.65124,2.71371,0.91884,0.62034,0.85195,0.81298,0.70368,0.60941,2.37315,0.88399,4.59816e-05,4.59816e-05,4.59816e-05
134,268.275,0.58685,2.63727,0.8924,0.66306,0.84787,0.81333,0.6977,0.62536,2.37612,0.88733,4.36254e-05,4.36254e-05,4.36254e-05
135,269.868,0.60161,2.57358,0.9083,0.59343,0.86141,0.80078,0.68665,0.62137,2.3854,0.88581,4.12692e-05,4.12692e-05,4.12692e-05
136,272.294,0.59784,2.56746,0.87847,0.56748,0.87396,0.79075,0.68578,0.59561,2.38082,0.87896,3.8913e-05,3.8913e-05,3.8913e-05
137,274.278,0.63563,2.71971,0.92385,0.55438,0.87141,0.79535,0.69086,0.59097,2.38363,0.87783,3.65568e-05,3.65568e-05,3.65568e-05
138,275.998,0.59492,2.62101,0.89143,0.56487,0.87007,0.7936,0.68966,0.58487,2.37286,0.8771,3.42006e-05,3.42006e-05,3.42006e-05
139,277.71,0.58481,2.5994,0.91433,0.56505,0.85105,0.80086,0.69538,0.58232,2.35597,0.87726,3.18444e-05,3.18444e-05,3.18444e-05
140,279.382,0.57985,2.60365,0.89498,0.57563,0.86296,0.80465,0.70438,0.57508,2.33212,0.877,2.94882e-05,2.94882e-05,2.94882e-05
141,282.825,0.55661,2.63044,0.90061,0.60573,0.85692,0.81209,0.71149,0.57018,2.32491,0.87662,2.7132e-05,2.7132e-05,2.7132e-05
142,285.374,0.56606,2.71153,0.89092,0.59324,0.8597,0.81357,0.71266,0.57005,2.32271,0.87653,2.47758e-05,2.47758e-05,2.47758e-05
143,287.519,0.54368,2.58792,0.89358,0.59503,0.85942,0.81675,0.71583,0.57157,2.32402,0.87695,2.24196e-05,2.24196e-05,2.24196e-05
144,289.22,0.54667,2.56253,0.86543,0.61043,0.8501,0.82013,0.71478,0.58393,2.33067,0.87992,2.00634e-05,2.00634e-05,2.00634e-05
145,290.871,0.57273,2.62849,0.91842,0.61089,0.84991,0.81903,0.71128,0.58594,2.33369,0.88051,1.77072e-05,1.77072e-05,1.77072e-05
146,292.486,0.54189,2.52406,0.87805,0.61918,0.83714,0.82068,0.7096,0.59124,2.34096,0.88191,1.5351e-05,1.5351e-05,1.5351e-05
147,294.038,0.58187,2.62104,0.88916,0.60851,0.83639,0.81253,0.70019,0.59608,2.3454,0.88297,1.29948e-05,1.29948e-05,1.29948e-05
148,295.644,0.50743,2.58818,0.86565,0.63261,0.83093,0.81124,0.7022,0.59529,2.35315,0.88371,1.06386e-05,1.06386e-05,1.06386e-05
149,297.434,0.527,2.52076,0.88433,0.65485,0.84328,0.81173,0.70252,0.59352,2.35432,0.88304,8.2824e-06,8.2824e-06,8.2824e-06
150,299.844,0.53037,2.63717,0.87241,0.65796,0.83331,0.81074,0.70295,0.59205,2.35754,0.88287,5.9262e-06,5.9262e-06,5.9262e-06
